Column1,Date,Mobile subscribers,Mobile downloads,Broadband subscribers,Broadband downloads,1000
,Jun-13,19645000,19636,12358000,657262,
,Dec-13,20281000,27627,12397000,860920,
,Jun-14,20567000,38734,12483000,996225,
,Dec-14,21032000,52745,12691000,1146743,
,Jun-15,23652000,71572,12762000,1388697,
,Dec-15,24235000,90693,12946000,1714922,
,Jun-16,24818000,121147,13297000,2097682,
,Dec-16,25457000,146050,13461000,2587056,
,Jun-17,26330000,175076,13748000,2995972,
,Dec-17,26694000,203157,14209000,3586528,
,Jun-18,26981000,246765,14720000,3837215,
